"","Acres","Fires","Hectares","Year"
"1",24316000,91793,9.84035126767973,1926
"2",38531000,158438,15.59296655268,1927
"3",43542000,175934,17.6208494364744,1928
"4",46230000,134895,18.7086461220938,1929
"5",52266000,190980,21.151332429534,1930
"6",51607000,187214,20.8846441795998,1931
"7",42063000,166399,17.0223184476235,1932
"8",43890000,140722,17.7616802573805,1933
"9",41821000,162663,16.9243843710164,1934
"10",30335000,140297,12.2761579085814,1935
"11",43207000,226285,17.4852795370389,1936
"12",21981000,185209,8.89540883430121,1937
"13",33815000,232229,13.6844661176423,1938
"14",30449000,212671,12.3222921430161,1939
"15",25848000,195427,10.4603306286801,1940
"16",26405000,199702,10.6857408793833,1941
"17",31854000,208218,12.8908763481111,1942
"18",32333000,210326,13.0847210699905,1943
"19",16549000,131229,6.69715303211186,1944
"20",17681000,124728,7.15525788632363,1945
"21",20691000,172278,8.37336354990793,1946
"22",23226000,200799,9.39924323668076,1947
"23",16557000,174189,6.70039052224763,1948
"24",15397000,193774,6.23095445256065,1949
"25",15519000,208402,6.28032617713118,1950
"26",10781000,164090,4.36292264422007,1951
"27",14187000,188277,5.7412840695251,1952
"28",9976000,154160,4.03715019930799,1953
"29",8833000,176891,3.57459379615953,1954
"30",8069000,145180,3.26541348819328,1955
"31",6606000,143485,2.67335747961393,1956
"32",3410000,83392,1.37998017037292,1957
"33",3280000,97910,1.32737095566662,1958
"34",4156000,104662,1.68187612553368,1959
"35",4478188,103387,1.8122611845167,1960
"36",3036219,98517,1.22871613281803,1961
"37",4078894,115345,1.65067238623257,1962
"38",7120768,164183,2.88167701989033,1963
"39",4197309,116358,1.69859331053601,1964
"40",2652112,113684,1.0732733048704,1965
"41",4574389,122500,1.85119240808563,1966
"42",4658586,125025,1.88526577770583,1967
"43",4231996,125371,1.71263066307845,1968
"44",6689081,113351,2.70697921936019,1969
"45",3278565,121736,1.32679023087352,1970
"46",4278472,108398,1.73143886202222,1971
"47",2641166,124554,1.06884360899213,1972
"48",1915273,117957,0.775084680601364,1973
"49",2879095,145868,1.1651302078064,1974
"50",1791327,134872,0.72492543655531,1975
"51",5109926,241699,2.06791687744076,1976
"52",3152644,173998,1.27583173145019,1977
"53",3910913,218842,1.58269278242043,1978
"54",2986826,163196,1.20872746403351,1979
"55",5260825,234892,2.1289836304405,1980
"56",4814206,249370,1.94824305457194,1981
"57",2382036,174755,0.963977256631796,1982
"58",1323666,18229,0.535669452257138,1983
"59",1148409,20493,0.464745351166508,1984
"60",2896147,82591,1.1720309180308,1985
"61",2719162,85907,1.10040751907084,1986
"62",2447296,71300,0.990387082414358,1987
"63",5009290,72750,2.02719087027782,1988
"64",1827310,48949,0.739487262499747,1989
"65",4621621,66481,1.87030654984723,1990
"66",2953578,75754,1.19527245502924,1991
"67",2069929,87394,0.837671839906113,1992
"68",1797574,58810,0.727453511665082,1993
"69",4073579,79107,1.64852147872362,1994
"70",1840546,82234,0.744843689929382,1995
"71",6065998,96363,2.45482608607677,1996
"72",2856959,66196,1.15617207260072,1997
"73",1329704,81043,0.538112947937112,1998
"74",5626093,92487,2.27680257380466,1999
"75",7393493,92250,2.99204508205014,2000
"76",3570911,84079,1.44509864227757,2001
"77",7184712,73457,2.90755427854556,2002
"78",3960842,63629,1.60289836304405,2003
"79",8097880,65461,3.27710082758342,2004
"80",8689389,66753,3.51647639667348,2005
"81",9873745,96385,3.99576900507881,2006
"82",9328045,85705,3.77493170919245,2007
"83",5292468,78979,2.14178911798628,2008
"84",5921786,78792,2.39646547014427,2009
"85",3422724,71971,1.38512939843386,2010
"86",8711367,74126,3.52537059144898,2011
"87",9326238,67774,3.77420044110803,2012
"88",4319546,47579,1.74806094575181,2013
"89",3595613,63312,1.45509520244431,2014
"90",10125149,68151,4.09750875134052,2015
"91",5509995,67743,2.2298193075818,2016
"92",10026086,71499,4.05741931567552,2017
"93",8767492,58083,3.54808360818276,2018
"94",4664364,50477,1.8876040549564,2019
